Tabel 1 Nitrogenase activity collected from literature,,,,,
Species,Original activity,Original unit,Transformed activity,Transformed unit,Literature
Bacillus subtilis,349 ± 3.32/606.8 ± 6.51/668.7 ± 7.78,(ηmol/h/vial,541.5,nmol/tube/h,"Ali, S., Hameed, S., Shahid, M., Iqbal, M., Lazarovits, G., & Imran, A. (2020). Functional characterization of potential PGPR exhibiting broad-spectrum antifungal activity. Microbiological Research, 232, 126389."
Bacillus subtilis,1338.75 ± 15.46,n moles of ethylene mg−1 of protein h−1,1338.75,nmol/mg/h,"Panchami, P. S., Geetha Thanuja, K., & Karthikeyan, S. (2020). Isolation and characterization of indigenous plant growth-promoting rhizobacteria (PGPR) from cardamom rhizosphere. Current Microbiology, 77(10), 2963-2981."
Bacillus subtilis,8.2,nmole C2H4/tube/24 h,0.3417,nmol/tube/h,"Ouyabe, M., Kikuno, H., Tanaka, N., Babil, P., & Shiwachi, H. (2019). Isolation and identification of nitrogen-fixing bacteria associated with Dioscorea alata L. and Dioscorea esculenta L. Microb Resour Syst, 35, 3-11."
Bacillus subtilis, 11 / 15,nmol C2H4 g −1nodules h−1, 11 / 15,nmol/g nodule/h,"Eswaran, S. U. D., Sundaram, L., Siang, T. C., Alharbi, S. A., Alahmadi, T. A., & Kadam, S. K. (2023). Multifarious microbial biostimulants promote growth in Arachis hypogaea L. Frontiers in Sustainable Food Systems, 7, 1170374."
Bacillus subtilis,1.3,μmol C2H4 min−1 mg−1 protein,78000,nmol/mg/h,"Gabra, F. A., Abd-Alla, M. H., Danial, A. W., Abdel-Basset, R., & Abdel-Wahab, A. M. (2019). Production of biofuel from sugarcane molasses by diazotrophic Bacillus and recycle of spent bacterial biomass as biofertilizer inoculants for oil crops. Biocatalysis and Agricultural Biotechnology, 19, 101112."
Bacillus subtilis,418.45,nmole C2H4 h−1 mg−1 protein,418.45,nmol/mg/h,"Gabra, F. A., Abd-Alla, M. H., Danial, A. W., Abdel-Basset, R., & Abdel-Wahab, A. M. (2019). Production of biofuel from sugarcane molasses by diazotrophic Bacillus and recycle of spent bacterial biomass as biofertilizer inoculants for oil crops. Biocatalysis and Agricultural Biotechnology, 19, 101112."
Bacillus subtilis,8.80 ± 1.27,nM ml−1 h−1,8.80 ,nmol/mL/h,"Abadi, V. A. J. M., Sepehri, M., Rahmani, H. A., Zarei, M., Ronaghi, A., Taghavi, S. M., & Shamshiripour, M. (2020). Role of dominant phyllosphere bacteria with plant growth–promoting characteristics on growth and nutrition of maize (Zea mays L.). Journal of Soil Science and Plant Nutrition, 20, 2348-2363."
Bacillus subtilis (Bs),625,μmol C2H4 h−1 g−1 dry nodules,625000,nmol/g nodule/h,"Tsigie, A., Tilak, K. V., & Saxena, A. K. (2011). Field response of legumes to inoculation with plant growth-promoting rhizobacteria. Biology and Fertility of Soils, 47, 971-974."
Bacillus subtilis (E4118756),387.6 ± 2.8,nmol C2H4 h−1 mg−1 protein,387.6,nmol/mg/h,"Mehta, P., Walia, A., Chauhan, A., Kulshrestha, S., & Shirkot, C. K. (2013). Phosphate solubilisation and plant growth promoting potential by stress tolerant Bacillus sp. isolated from rhizosphere of apple orchards in trans Himalayan region of Himachal Pradesh. Annals of applied biology, 163(3), 430-443."
Bacillus subtilis 26A (KC295415),110.45 ± 0.04,C2H4 nmol/mL·h,110.45,nmol/mL/h,"Sun, G., Yao, T., Feng, C., Chen, L., Li, J., & Wang, L. (2017). Identification and biocontrol potential of antagonistic bacteria strains against Sclerotinia sclerotiorum and their growth-promoting effects on Brassica napus. Biological control, 104, 35-43."
Bacillus subtilis B9,"1,126.93 ± 30.13",nmol/(mL h),"1,126.93 ± 30.13",nmol/mL/h,"Di, Y. N., Kui, L., Singh, P., Liu, L. F., Xie, L. Y., He, L. L., & Li, F. S. (2023). Identification and characterization of Bacillus subtilis B9: A diazotrophic plant growth-promoting endophytic bacterium isolated from sugarcane root. Journal of Plant Growth Regulation, 42(3), 1720-1737."
Bacillus subtilis DDKRC2,73.93±4.23,nmol/mg/h,73.93,nmol/mg/h,"Iqbal, S., Hameed, S., HUSSAIN, K., AHMAD, N., SHAHID, M., & Niaz, M. (2018). In vitro characterization of bacterial endophytes from tomato (Solanum lycopersicum L.) for phytobeneficial traits. Applied Ecology & Environmental Research, 16(2)."
Bacillus subtilis DR2,60,nmole C2H4 mg−1 protein h−1,60,nmol/mg/h,"Kumari, S., Prabha, C., Singh, A., Kumari, S., & Kiran, S. (2018). Optimization of indole-3-acetic acid production by diazotrophic B. subtilis DR2 (KP455653), isolated from rhizosphere of Eragrostis cynosuroides. International Journal of Pharma Medicine and Biological Sciences, 7(2), 20-27."
Bacillus subtilis DSM10 AJ276351,75/82/92,nmol/mg/h,83,nmol/mg/h,"Cibichakravarthy, B., Preetha, R., Sundaram, S. P., Kumar, K., & Balachandar, D. (2012). Diazotrophic diversity in the rhizosphere of two exotic weed plants, Prosopis juliflora and Parthenium hysterophorus. World Journal of Microbiology and Biotechnology, 28, 605-613."
Bacillus subtilis JCM 1465,67.45/37.45,nmol C2H4/(mL·h),67.45/37.45,nmol/mL/h,"Shi, Z., Guo, X., Lei, Z., Wang, Y., Yang, Z., Niu, J., & Liang, J. (2023). Screening of high-efficiency nitrogen-fixing bacteria from the traditional Chinese medicine plant Astragalus mongolicus and its effect on plant growth promotion and bacterial communities in the rhizosphere. BMC microbiology, 23(1), 292."
Bacillus subtilis KU21,405,nmol ethylene mL−1 h−1,405,nmol/mL/h,"Sharma, M., Sood, G., & Chauhan, A. (2024). Assessment of Plant Growth Promotion Potential of Endophytic Bacterium B. subtilis KU21 Isolated from Rosmarinus officinalis. Current Microbiology, 81(7), 207."
Bacillus subtilis MA17,3.125,"nmol of
C2H4 Formed
mL−1 Culture
Media 72 h−1",0.0434,nmol/mL/h,"Hadj Brahim, A., Ben Ali, M., Daoud, L., Jlidi, M., Akremi, I., Hmani, H., ... & Ben Ali, M. (2022). Biopriming of durum wheat seeds with endophytic diazotrophic bacteria enhances tolerance to Fusarium head blight and salinity. Microorganisms, 10(5), 970."
Bacillus subtilis PPB2,4.9±0.23,u mole C2H4 h−1 mg−1 protein,4900,nmol/mg/h,"Islam, S., Akanda, A. M., Prova, A., Islam, M. T., & Hossain, M. M. (2016). Isolation and identification of plant growth promoting rhizobacteria from cucumber rhizosphere and their effect on plant growth promotion and disease suppression. Frontiers in microbiology, 6, 1360."
Bacillus subtilis PPB5,2.9±0.17,u mole C2H4 h−1 mg−1 protein,2900,nmol/mg/h,"Islam, S., Akanda, A. M., Prova, A., Islam, M. T., & Hossain, M. M. (2016). Isolation and identification of plant growth promoting rhizobacteria from cucumber rhizosphere and their effect on plant growth promotion and disease suppression. Frontiers in microbiology, 6, 1360."
Bacillus subtilis PPB8,4.79±0.01,u mole C2H4 h−1 mg−1 protein,4790,nmol/mg/h,"Islam, S., Akanda, A. M., Prova, A., Islam, M. T., & Hossain, M. M. (2016). Isolation and identification of plant growth promoting rhizobacteria from cucumber rhizosphere and their effect on plant growth promotion and disease suppression. Frontiers in microbiology, 6, 1360."
Bacillus subtilis PPL-SC9 (KM226924),220.36 ± 2.09,C2H4 nmol/mL·h,220.36,nmol/mL/h,"Sun, G., Yao, T., Feng, C., Chen, L., Li, J., & Wang, L. (2017). Identification and biocontrol potential of antagonistic bacteria strains against Sclerotinia sclerotiorum and their growth-promoting effects on Brassica napus. Biological control, 104, 35-43."
Bacillus subtilis RC11,0.32 ± 0.12,"nmol C2H4, 107 cfu h–1",0.032,nmol/h/10*6cells,"Çakmakçı, R. (2016). Screening of multi-trait rhizobacteria for improving the growth, enzyme activities, and nutrient uptake of tea (Camellia sinensis). Communications in Soil Science and Plant Analysis, 47(13-14), 1680-1690."
Bacillus subtilis RC11,0,"nmol C2H4,107 cfu h–1",0,nmol/h/10*6cells,"Çakmakçı, R., Erat, M., Erdoğan, Ü., & Dönmez, M. F. (2007). The influence of plant growth–promoting rhizobacteria on growth and enzyme activities in wheat and spinach plants. Journal of Plant Nutrition and Soil Science, 170(2), 288-295."
Bacillus subtilis RC521,0.86 ± 0.14,"nmol C2H4, 107 cfu h–1",0.086,nmol/h/10*6cells,"Çakmakçı, R. (2016). Screening of multi-trait rhizobacteria for improving the growth, enzyme activities, and nutrient uptake of tea (Camellia sinensis). Communications in Soil Science and Plant Analysis, 47(13-14), 1680-1690."
Bacillus subtilis RC63,0.74 ± 0.17,"nmol C2H4, 107 cfu h–1",0.074,nmol/h/10*6cells,"Çakmakçı, R. (2016). Screening of multi-trait rhizobacteria for improving the growth, enzyme activities, and nutrient uptake of tea (Camellia sinensis). Communications in Soil Science and Plant Analysis, 47(13-14), 1680-1690."
Bacillus subtilis strain 1A337 (JQ746567),20.84 ± 4.13,"nmol Ethylene
mg Protein−1 hr−1",20.84,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
Bacillus subtilis subsp. spizizenii PPB9,3.95±0.02,u mole C2H4 h−1 mg−1 protein,3950,nmol/mg/h,"Islam, S., Akanda, A. M., Prova, A., Islam, M. T., & Hossain, M. M. (2016). Isolation and identification of plant growth promoting rhizobacteria from cucumber rhizosphere and their effect on plant growth promotion and disease suppression. Frontiers in microbiology, 6, 1360."
Bacillus subtilis subsp. subtilis PPB11,1.79±0.01,u mole C2H4 h−1 mg−1 protein,1790,nmol/mg/h,"Islam, S., Akanda, A. M., Prova, A., Islam, M. T., & Hossain, M. M. (2016). Isolation and identification of plant growth promoting rhizobacteria from cucumber rhizosphere and their effect on plant growth promotion and disease suppression. Frontiers in microbiology, 6, 1360."
Bacillus subtilis TE28,0.24 ± 0.06,"nmol C2H4,
107 CFU h−1",0.024,nmol/h/10*6cells,"Çakmakçı, R., Haliloglu, K., Türkoğlu, A., Özkan, G., Kutlu, M., Varmazyari, A., ... & Bocianowski, J. (2023). Effect of different Plant Growth-Promoting Rhizobacteria on biological soil properties, growth, yield and quality of oregano (Origanum onites L.). Agronomy, 13(10), 2511."
Bacillus subtilis TE565,0.51 ± 0.11 ,"nmol C2H4,
107 CFU h−1",0.051,nmol/h/10*6cells,"Çakmakçı, R., Haliloglu, K., Türkoğlu, A., Özkan, G., Kutlu, M., Varmazyari, A., ... & Bocianowski, J. (2023). Effect of different Plant Growth-Promoting Rhizobacteria on biological soil properties, growth, yield and quality of oregano (Origanum onites L.). Agronomy, 13(10), 2511."
Bacillus subtilis WP1-21 (AY162129),220.36 ± 2.09,C2H4 nmol/mL·h,220.36,nmol/mL/h,"Sun, G., Yao, T., Feng, C., Chen, L., Li, J., & Wang, L. (2017). Identification and biocontrol potential of antagonistic bacteria strains against Sclerotinia sclerotiorum and their growth-promoting effects on Brassica napus. Biological control, 104, 35-43."
Bacillus subtilis ZJ-1 (KC146707),110.45 ± 0.04,C2H4 nmol/mL·h,110.45,nmol/mL/h,"Sun, G., Yao, T., Feng, C., Chen, L., Li, J., & Wang, L. (2017). Identification and biocontrol potential of antagonistic bacteria strains against Sclerotinia sclerotiorum and their growth-promoting effects on Brassica napus. Biological control, 104, 35-43."
Bacillus tequilensis strain 28P,32.1 ± 0.60,n moles C2H4/ml/h,32.1 ± 0.60,nmol/mL/h,"Nagah, A., El-Sheekh, M. M., Arief, O. M., Alqahtani, M. D., Alharbi, B. M., & Dawwam, G. E. (2024). Endophytic Bacillus vallismortis and Bacillus tequilensis bacteria isolated from medicinal plants enhance phosphorus acquisition and fortify Brassica napus L. vegetative growth and metabolic content. Frontiers in Plant Science, 15, 1324538."
Bacillus thuriengiensis,0,n mole C2H2 reduced h−1mg−1 protein,0,nmol/mg/h,"Zahra, S. T., Tariq, M., Abdullah, M., Azeem, F., & Ashraf, M. A. (2023). Dominance of Bacillus species in the wheat (Triticum aestivum L.) rhizosphere and their plant growth promoting potential under salt stress conditions. PeerJ, 11, e14621."
Bacillus thuriengiensis ATCC10792,0, u mol ethylene mg−1 h−1,0,nmol/mg/h,"S Zawoznik, M., C Vázquez, S., Díaz Herrera, S. M., & D Groppa, M. (2014). Search for endophytic diazotrophs in barley seeds. Brazilian Journal of Microbiology, 45, 621-625."
Bacillus thuringensis KX057531,1.4,μmol C2H4 min−1 mg−1 protein,84000,nmol/mg/h,"Gabra, F. A., Abd-Alla, M. H., Danial, A. W., Abdel-Basset, R., & Abdel-Wahab, A. M. (2019). Production of biofuel from sugarcane molasses by diazotrophic Bacillus and recycle of spent bacterial biomass as biofertilizer inoculants for oil crops. Biocatalysis and Agricultural Biotechnology, 19, 101112."
Bacillus thuringiensis,31,nmol/ml,2.583,nmol/mL/h,"Baskar, B., & Prabakaran, P. (2015). Assessment of nitrogen fixing bacterial community present in the rhizosphere of Avicennia marina."
Bacillus thuringiensis,4.321,nmol C2H4 mg protein h−1,4.321,nmol/mg/h,"Ambrosini, A., Stefanski, T., Lisboa, B. B., Beneduzi, A., Vargas, L. K., & Passaglia, L. M. P. (2016). Diazotrophic bacilli isolated from the sunflower rhizosphere and the potential of Bacillus mycoides B38V as biofertiliser. Annals of applied biology, 168(1), 93-110."
Bacillus thuringiensis,26.59 ± 2.05,n moL C2H4 mg protein h− 1,26.59 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus thuringiensis,15.08 ± 1.17,n moL C2H4 mg protein h− 1,15.08 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus thuringiensis,17.69 ± 0.76,n moL C2H4 mg protein h− 1,17.69 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus thuringiensis,0,nmoles C2H4 mg−1 protein h−1,0,nmol/mg/h,"Devi, R., Kaur, T., Negi, R., Kour, D., Chaubey, K. K., & Yadav, A. N. (2023). Indigenous plant growth-promoting rhizospheric and endophytic bacteria as liquid bioinoculants for growth of sweet pepper (Capsicum annuum L.). Biologia, 78(9), 2623-2633."
Bacillus thuringiensis,0,Ethylene/mg protein (nmol)/5‐day,0,nmol/mg/h,"Ding, Y., Wang, J., Liu, Y., & Chen, S. (2005). Isolation and identification of nitrogen‐fixing bacilli from plant rhizospheres in Beijing region. Journal of applied microbiology, 99(5), 1271-1281."
Bacillus thuringiensis,82.6,nmole/h/vial,82.6,nmol/tube/h,"Renugadevi, R., Ayyappadas, M. P., Mahesh, M., Kiruba, M., & Arunkumar, M. (2024). Nitrogen Fixing Activity of Endophytic Bacteria Associated with Kalanchoe pinnata (Lam.) and its effect on Zea mays. Biosciences Biotechnology Research Asia, 21(1), 163-174."
Bacillus thuringiensis,29.2,nmol C2H4/mg protein/h,29.2,nmol/mg/h,"Hongrittipun, P., Youpensuk, S., & Rerkasem, B. (2014). Screening of nitrogen fixing endophytic bacteria in Oryza sativa L. Journal of Agricultural Science, 6(6), 66."
Bacillus tianshenii,0,n mole C2H2 reduced h−1mg−1 protein,0,nmol/mg/h,"Zahra, S. T., Tariq, M., Abdullah, M., Azeem, F., & Ashraf, M. A. (2023). Dominance of Bacillus species in the wheat (Triticum aestivum L.) rhizosphere and their plant growth promoting potential under salt stress conditions. PeerJ, 11, e14621."
Bacillus toyongensis,23.1 ± 0.25,µmoles/C2H4h −1 mL−1,23100,nmol/mL/h,"Yadav, A., Boruah, J. L. H., Geed, S. R., Sharma, R. K., & Saikia, R. (2023). Occurrence, identification and characterization of diazotrophic bacteria from aerial roots of Rhynchostylis retusa (L.) Blume for plant growth-promoting activity. Archives of Microbiology, 205(4), 131."
Bacillus vallismortis DSM 11031 (AB021198),167.57, nmol C2H4 mg protein-1 h-1,167.57,nmol/mg/h,"Arvind, G., Sood, S., Rahi, P., Thakur, R., Chauhan, S., & Nee Chadha, I. C. (2011). Diversity analysis of diazotrophic bacteria associated with the roots of tea (Camellia sinensis (L.) O. Kuntze). Journal of microbiology and biotechnology, 21(6), 545-555."
Bacillus vallismortis strain 20P,9.6 ± 0.47,n moles C2H4/ml/h,9.6 ± 0.47,nmol/mL/h,"Nagah, A., El-Sheekh, M. M., Arief, O. M., Alqahtani, M. D., Alharbi, B. M., & Dawwam, G. E. (2024). Endophytic Bacillus vallismortis and Bacillus tequilensis bacteria isolated from medicinal plants enhance phosphorus acquisition and fortify Brassica napus L. vegetative growth and metabolic content. Frontiers in Plant Science, 15, 1324538."
Bacillus velezensis,130.167±2.1,nitrogenase n-mole C2 H4/ ml/24h,5.424,nmol/mL/h,"Abdel-Hamid, M. S., Fouda, A., El-Ela, H. K. A., El-Ghamry, A. A., & Hassan, S. E. D. (2021). Plant growth-promoting properties of bacterial endophytes isolated from roots of Thymus vulgaris L. and investigate their role as biofertilizers to enhance the essential oil contents. Biomolecular concepts, 12(1), 175-196."
Bacillus velezensis,346.6±1.4,nitrogenase n-mole C2 H4/ ml/24h,14.442,nmol/mL/h,"Abdel-Hamid, M. S., Fouda, A., El-Ela, H. K. A., El-Ghamry, A. A., & Hassan, S. E. D. (2021). Plant growth-promoting properties of bacterial endophytes isolated from roots of Thymus vulgaris L. and investigate their role as biofertilizers to enhance the essential oil contents. Biomolecular concepts, 12(1), 175-196."
